Portfolio Name,New Weight,Ticker,LastTradeDate,NextCheckDate,Signal,Performance
01 Qualified Stock,0.0318,MSFT,8/15/2026,6/18/2027,0,0.0142
03 Non-qualified Stock,0.0284,AMZN,8/15/2026,8/22/2027,0,-0.0061
02 Qualified ETF,0.1120,VTI,8/15/2026,10/04/2026,0,0.0388
03 Non-qualified Stock,0.0412,GOOG,7/31/2026,8/14/2027,0,0.0210
03 Non-qualified Stock,0.0197,META,7/31/2026,8/14/2027,0,-0.0184
02 Qualified ETF,0.0944,QQQ,7/30/2026,9/19/2026,0,0.0266
02 Qualified ETF,0.0871,IWM,7/30/2026,11/03/2026,0,-0.0092
03 Non-qualified Stock,0.0335,JPM,7/30/2026,8/28/2027,0,0.0118
03 Non-qualified Stock,0.0261,XOM,7/30/2026,8/28/2027,0,0.0044
01 Qualified Stock,0.0389,UNH,7/29/2026,6/11/2027,0,-0.0227
01 Qualified Stock,0.0294,CAT,7/29/2026,6/11/2027,0,0.0165
01 Qualified Stock,0.0226,LMT,7/29/2026,6/11/2027,0,0.0079
01 Qualified Stock,0.0352,DE,7/29/2026,6/11/2027,0,-0.0033
02 Qualified ETF,0.0768,IEFA,7/29/2026,11/08/2026,0,0.0091
03 Non-qualified Stock,0.0188,HON,7/29/2026,8/19/2027,0,0.0028
03 Non-qualified Stock,0.0249,PEP,7/29/2026,8/19/2027,0,-0.0116
03 Non-qualified Stock,0.0213,KO,7/29/2026,8/19/2027,0,0.0057
02 Qualified ETF,0.0815,VNQ,7/21/2026,10/16/2026,0,-0.0149
01 Qualified Stock,0.0277,WMT,7/20/2026,6/02/2027,0,0.0194
02 Qualified ETF,0.0693,GLD,7/20/2026,10/12/2026,0,0.0311
03 Non-qualified Stock,0.0306,COST,7/20/2026,8/08/2027,0,0.0082
03 Non-qualified Stock,0.0255,V,7/20/2026,8/08/2027,0,0.0137
01 Qualified Stock,0.0341,MA,7/17/2026,6/01/2027,0,0.0104
01 Qualified Stock,0.0168,DIS,7/15/2026,5/28/2027,0,-0.0275
01 Qualified Stock,0.0233,NFLX,7/9/2026,5/28/2027,0,0.0420
03 Non-qualified Stock,0.0191,AMD,7/7/2026,7/30/2027,0,-0.0312
01 Qualified Stock,0.0280,AVGO,7/2/2026,5/21/2027,0,0.0246
04 Non-qualified ETF,0.1540,TLT,7/1/2026,5/12/2027,0,-0.0088
04 Non-qualified ETF,0.1216,HYG,7/1/2026,9/18/2026,0,0.0063
04 Non-qualified ETF,0.0982,EFA,7/1/2026,9/18/2026,0,0.0129
04 Non-qualified ETF,0.0874,EMB,7/1/2026,9/18/2026,0,-0.0047
